64, 12
1,1.00,1.00,0.21981,0.47837,2.55363,0.47245,0.18007,-0.02384,0.1433,-0.1055,-0.03734
2,1.00,1.00,0.43756,0.47837,0.55072,-0.32095,-0.34665,-0.11419,-0.61093,-0.1055,-0.44133
3,1.00,1.00,-0.23644,1.25375,-0.11692,0.84082,-0.38121,1.13145,-0.69032,-0.1055,-0.47499
4,1.00,1.00,0.67606,0.47837,0.55072,1.7759,-0.44277,0.13752,0.07525,-0.1055,0.93895
5,1.00,1.00,-0.28829,-0.29701,1.21835,1.7759,1.79439,-0.11419,2.41731,-0.1055,1.19144
6,1.00,1.00,0.36757,1.25375,1.21835,0.35911,-0.46947,-0.14001,-0.23098,-0.1055,-0.52549
7,1.00,1.00,-0.48013,2.02913,3.8889,0.84082,-0.34886,0.18915,-0.04384,0.93406,-0.49182
8,1.00,1.00,-0.31076,2.02913,1.88599,1.23752,3.02242,0.21497,-0.45781,-0.1055,0.21515
9,1.00,1.00,-0.16559,1.25375,1.21835,0.86915,-0.53228,-0.13356,-0.42946,-0.1055,-0.55915
10,1.00,1.00,-0.15608,-0.29701,-0.11692,-0.54764,-0.49496,-0.14646,-0.55422,-0.1055,-0.47499
11,1.00,1.00,-0.17855,2.02913,7.22709,0.55746,-0.49111,0.1117,0.28507,-0.1055,0.40031
12,1.00,1.00,-0.40322,-1.07238,-0.78456,-0.97268,-0.5618,-0.16583,-1.00222,-0.1055,-0.57599
13,1.00,1.00,-0.33668,2.02913,1.21835,1.09584,-0.45722,-0.14646,-0.71867,-0.1055,-0.50866
15,1.00,1.00,-0.45939,2.02913,-0.11692,0.58579,-0.51112,-0.10774,-0.58257,-0.1055,-0.20567
16,1.00,1.00,-0.38421,2.02913,1.21835,-0.17927,-0.54953,-0.05611,-0.65629,-0.1055,-0.18884
17,1.00,1.00,0.43238,0.47837,1.21835,-0.77433,-0.50833,-0.1271,-0.63928,-0.1055,1.15778
18,1.00,1.00,-0.45161,-1.07238,-0.78456,-0.46263,-0.37438,0.40859,-0.07787,-0.1055,-0.54232
19,1.00,1.00,-0.46803,-0.29701,-0.78456,-0.32095,-0.49066,-0.15937,0.25672,-0.1055,0.33298
20,1.00,1.00,0.30622,2.02913,1.88599,0.86915,-0.48435,-0.12065,-0.76404,-0.1055,-0.49182
21,1.00,1.00,-0.12325,1.25375,5.22418,0.33077,-0.04128,16.20828,-0.59958,-0.1055,-0.35716
22,1.00,1.00,-0.33841,0.47837,1.21835,-0.29262,0.76491,0.20851,-0.78105,-0.1055,0.4508
23,1.00,1.00,-0.45593,-1.07238,-0.78456,-0.97268,-0.5618,-0.16583,-1.00222,-0.1055,-0.57599
24,1.00,1.00,-0.43519,2.02913,-0.78456,0.16076,-0.35271,-0.09483,-0.21397,-0.1055,-0.49182
25,1.00,1.00,0.09192,2.02913,-0.11692,-0.17927,-0.54433,-0.08838,-0.90581,-0.1055,-0.47499
26,1.00,1.00,-0.46976,1.25375,1.21835,-0.06593,-0.50612,-0.12065,-0.4805,-0.1055,-0.55915
27,1.00,1.00,-0.0835,1.25375,1.21835,1.66256,-0.47178,-0.14001,-0.65629,-0.1055,-0.10467
28,1.00,1.00,-0.08004,1.25375,1.21835,0.9825,-0.34197,-0.1271,0.28507,-0.1055,-0.172
30,1.00,1.00,-0.00141,1.25375,5.22418,1.0675,-0.51294,0.11816,-0.48617,-0.1055,0.11415
31,1.00,1.00,-0.36088,-0.29701,-0.11692,-0.49097,-0.46502,-0.12065,-0.36708,-0.1055,-0.54232
32,1.00,1.00,-0.33495,1.25375,2.55363,0.24576,-0.51727,-0.04965,0.66502,-0.1055,-0.34033
33,1.00,1.00,0.47386,-0.29701,-0.11692,-0.40596,-0.04458,-0.15292,-0.32738,-0.1055,-0.40766
34,1.00,1.00,0.7737,1.25375,3.22127,0.50079,-0.5133,-0.10774,0.67636,-0.1055,0.66963
35,1.00,1.00,-0.33495,2.02913,0.55072,-0.06593,-0.47704,-0.14646,-0.74136,-0.1055,-0.50866
36,0.00,1.00,-0.35569,0.47837,0.55072,-0.5193,-0.38445,-0.14646,-0.52019,-0.1055,-0.45816
37,1.00,1.00,0.8195,0.47837,0.55072,-0.60431,-0.13884,-0.15292,0.11494,-0.1055,-0.57599
39,1.00,1.00,1.09602,0.47837,-0.78456,-0.49097,-0.54523,-0.14001,-0.70166,-0.1055,-0.49182
40,1.00,1.00,-0.33409,1.25375,-0.11692,0.16076,-0.50054,-0.06256,-0.4408,-0.1055,0.29931
41,1.00,1.00,-0.27533,1.25375,1.21835,-0.46263,-0.53128,-0.13356,-0.58257,0.93406,-0.35716
42,1.00,1.00,0.51533,1.25375,-0.78456,-0.77433,-0.38095,-0.16583,-0.6166,-0.1055,-0.47499
43,1.00,1.00,-0.38939,0.47837,-0.11692,-0.06593,-0.5469,-0.14001,-0.14592,-0.1055,-0.05417
44,1.00,1.00,-0.34446,0.47837,0.55072,2.00259,-0.26794,-0.1271,-0.61093,-0.1055,-0.50866
45,1.00,1.00,-0.44383,-1.07238,0.55072,-0.74599,-0.43613,-0.14646,0.01854,-0.1055,-0.273
46,1.00,1.00,-0.34532,-1.07238,-0.78456,-0.97268,-0.47306,-0.16583,-0.97386,-0.1055,-0.57599
